BusinessName,Telephone,Email,EmailHost,WebsiteURL,Linkedin,FacebookProfile,FacebookMessenger,Instagram,Twitter,Google_Rank,DomainRegistered,DomainExpiry,DomainNameserver,DomainRegistrar,Instagram_Followers,Instagram_Follows,Instagram_TotalPhotos,Instagram_Average_Likes,Instagram_Average_Comments,Instagram_Is_verified,Instagram_HighlightReel_Count,Instagram_Is_BizAccount,Instagram_AccountName,YelpAds,FBMessenger_Ads,FacebookAds,Instagram_Ads,Adwords_Ads,Gmaps_URL,GMB_Claimed,FacebookPixel,GooglePixel,CriteoPixel,GoogleStars,GoogleCount,YelpStars,Yelpcount,FacebookStars,Facebookcount,MainCategory,Address,City,State,ZIP,MobileFriendly,GoogleAnalytics,SchemaMarkup,UseWordpress,UseShopify,LinkedinAnalytics
Renoteck Roofing,(587) 870-2483,info@renoteck.ca,hspherefilter.com,https://renoteckroofing.com/,,,,,https://www.twitter.com/renoteckroofing,,6/22/2015,6/22/2025,webcorelabs.com,Rebel.ca Corp.,,,,,,,,,,no,no,no,no,no,"https://maps.google.com/maps/place/Renoteck+Roofing/@51.0681442,-114.01587819999999,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB65FC59179C7CB66!8m2!3d51.0681442!4d-114.01587819999999",verified,y,y,n,4.6,34,,,,,Roofing Service,1925 18 Ave NE #115,Calgary,AB,T2P 3C8,y,y,y,y,n,n
Spark Roofing Calgary,(587) 316-2888,chad@beyondfoam.ca,outlook.com,http://www.beyondfoam.com/,https://www.linkedin.com/company/beyond-foam-insulation-ltd.,,,https://instagram.com/beyondfoam/,,,2/11/2009,2/11/2026,domaincontrol.com,GoDaddy.com,1048,243,866,9,1,,1,1,Beyond Group,no,no,no,no,yes,"https://maps.google.com/maps/place/Spark+Roofing+Calgary/@51.0424191,-114.0756331,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB5579D1A65DBE3BA!8m2!3d51.0424191!4d-114.0756331",unclaimed,n,n,n,,,,,5,24,Roofing Service,625 11 Ave SW #11,Calgary,AB,T2R 1J8,y,y,y,y,n,n
VS Vac Ltd.,(403) 803-8458,hhill@vsvac.com,google.com,http://www.vsvac.com/,https://www.linkedin.com/company/vsvacltd.,,,https://instagram.com/vsvacltd/,,,3/31/2017,3/31/2023,,,176,189,66,45,1,,6,1,VS-VAC-LTD,no,no,no,no,no,"https://maps.google.com/maps/place/VS+Vac+Ltd./@51.044733099999995,-114.0718831,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x216130FDAD6CD4B4!8m2!3d51.044733099999995!4d-114.0718831",verified,n,y,n,5,9,,,,,Contractor,3240 11 St SE,Calgary,AB,T2R,y,n,n,n,n,n
Great Canadian Roofing & Siding,(403) 263-7667,saskatoon@greatcanadian.ca,outlook.com,https://greatcanadianroofingandexteriors.ca/,,,,https://instagram.com/greatcanadiangroup/,https://www.twitter.com/greatcanroof,,,,,,1684,1782,1080,16,1,,5,1,Great Canadian,no,no,no,no,no,"https://maps.google.com/maps/place/Great+Canadian+Roofing+%26+Siding/@51.0755407,-114.0126064,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBBA84D0AB0F63154!8m2!3d51.0755407!4d-114.0126064",verified,n,y,n,4.2,107,,,,,Roofing Service,1936 25 Ave NE Bay 7,Calgary,AB,T2G 2W4,y,y,y,y,n,n
Mega Roofing & Exteriors Inc,(403) 978-1053,mhobalsteel@gmail.com,google.com,http://megaroofing.ca/,https://www.linkedin.com/company/mega-roofing-exteriors-inc,,,https://instagram.com/mega_roofing/,https://www.twitter.com/megaroofings,,,,,,71,36,,6,,,,1,Mega roofing & Exteriors Inc,no,no,no,no,no,https://g.page/megaroofingreviews,verified,n,y,n,4.6,37,,,5,7,Contractor,217 4 St NE,Calgary,AB,T2E 3S2,y,y,y,y,n,n
Meerkat Roofing & Exteriors,(403) 226-2700,info@meerkatroofing.ca,outlook.com,https://www.meerkatroofing.ca/,https://www.linkedin.com/company/meerkat-roofing-&-exteriors,https://www.facebook.com/meerkatroofing/,https://m.me/meerkatroofing/,https://instagram.com/meerkatroofs/,https://www.twitter.com/meerkatroofs,,,,,,1519,5343,1072,9,1,,17,1,Meerkat Roofing,no,no,yes,yes,no,https://g.page/MeerkatRoofing,verified,n,n,n,4.5,262,,,4.7,226,Roofing Service,2710 3 Ave NE Bay 135,Calgary,AB,T2A 6H1,y,y,y,y,n,n
Advanced Level Roofing,(403) 540-0422,mitch@advancedlevelroofing.com,google.com,https://www.advancedlevelroofing.com/,https://www.linkedin.com/company/advanced-level-roofing,https://www.facebook.com/advancedlevelroofing/,https://m.me/advancedlevelroofing/,https://instagram.com/advancedlevelroofing/,,,7/27/2016,7/27/2024,wixdns.net,Network Solutions,9876,633,444,12,,,4,1,Advanced Level Roofing,no,no,no,no,no,https://g.page/advancedlevelroofing,verified,y,y,n,4.6,354,,,4.6,114,Roofing Service,2333 18 Ave NE #52,Calgary,AB,T2E 8T6,y,y,y,y,n,n
Real Canadian Roofing Inc,(403) 702-8408,rcrcalgary@gmail.com,google.com,http://realcanadianroofing.ca/,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,"https://maps.google.com/maps/place/Real+Canadian+Roofing+Inc/@50.971349599999996,-114.0523228,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2B7A4B4B32937846!8m2!3d50.971349599999996!4d-114.0523228",verified,n,y,n,5,25,,,,,Roofing Service,363 Acadia Dr SE,Calgary,AB,T2R 0W3,y,y,y,y,n,n
Calgary Elite Roofing,(403) 478-2580,robert@calgaryeliteroofing.ca,google.com,https://calgaryeliteroofing.ca/,https://www.linkedin.com/company/calgary-elite-roofing,https://www.facebook.com/calgaryeliteroofing/,https://m.me/calgaryeliteroofing/,,https://www.twitter.com/calgaryroofers,,,,,,,,,,,,,,,no,no,no,no,yes,https://g.page/calgaryeliteroofing,verified,y,y,n,4.8,167,,,4.8,86,Roofing Service,160 Quarry Park Blvd SE Suite 300,Calgary,AB,T2C 5E1,y,y,y,y,n,n
Premium Roofing Inc.,(587) 210-8296,info@premiumroofingcalgary.ca,rackspace.com,https://premiumroofingcalgary.ca/,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,"https://maps.google.com/maps/place/Premium+Roofing+Inc./@51.043082,-114.06280799999999,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1C2F0C44D9CC751E!8m2!3d51.043082!4d-114.06280799999999",verified,n,y,n,5,1,,,,,Roofing Service,1010 Centre St S Suite 728,Calgary,AB,T2G 0V8,y,y,y,y,n,n
